G-number,G-number Full,Value
1031.01,103101,UND
1031.02,103102,hab
1031.02,103102,ab
1031.03,103103,hab
1031.03,103103,ab
1032.00,103200,hun_winik
1032.01,103201,hun_winik
1033.00,103300,pi
1034.00,103400,o
1035.00,103500,k'ak
1035.01,103501,k'ak
1036.00,103600,winal
1036.01,103601,UND
1036.02,103602,UND
1037.00,103700,UND
1038.00,103800,UND
1038.01,103801,UND
1039.00,103900,k'u
1040.00,104000,UND
1041.00,104100,ha
1042.00,104200,ha
1042.00,104200,ha
1043.00,104300,bi
1044.00,104400,UND
1045.00,104500,UND
1046.00,104600,xi
1047.00,104700,UND
1047.01,104701,UND
1048.00,104800,xi
1049.00,104900,UND
1050.00,105000,UND
1050.01,105001,UND
1051.00,105100,UND
1052.00,105200,UND
1052.01,105201,UND
1053.00,105300,UND
1053.01,105301,UND
1054.00,105400,UND
1055.00,105500,UND
1056.00,105600,UND
1057.00,105700,UND
1058.00,105800,c'ahom
1059.00,105900,UND
1060.00,106000,UND
1060.01,106001,UND
1061.00,106100,UND
1062.00,106200,UND
1063.00,106300,UND
1064.00,106400,UND
1065.00,106500,UND
1066.00,106600,UND
1067.00,106700,UND
1068.00,106800,UND
1069.00,106900,UND
1070.00,107000,uc'nab
1071.00,107100,te'
1072.00,107200,UND
1073.00,107300,UND
1073.01,107301,c'am
1073.02,107302,c'ahom
1074.00,107400,UND
1075.00,107500,UND
1076.00,107600,UND
1077.00,107700,UND
1078.00,107800,UND
1079.00,107900,UND
1080.00,108000,UND
1081.00,108100,UND
1082.00,108200,UND
1082.01,108201,UND
1083.00,108300,UND
1083.01,108301,UND
1084.00,108400,UND
1085.00,108500,UND
1086.00,108600,ca
1086.00,108600,sak
1087.00,108700,UND
0015.00,001500,a
0015.00,001500,a
0015.00,001500,a
0015.00,001500,a
0548.00,054800,ab
0012.00,001200,ah
0150.00,015000,ak
0150.00,015000,ak
0150.00,015000,ak
0314.00,031400,al
0314.00,031400,al
0314.00,031400,al
0314.00,031400,al
0314.00,031400,al
0314.00,031400,al
0314.00,031400,al
0314.00,031400,al
0251.00,025100,ba
0251.00,025100,ba
0251.00,025100,ba
0111.00,011100,bak
0111.00,011100,bak
0751.00,075100,balam
0751.00,075100,balam
0301.00,030100,be
0584.00,058400,ben
1003.00,100300,bolon
0072.00,007200,c'a
0190.00,019000,c'ak
0287.00,028700,c'o
0600.00,060000,c'ok
0109.00,010900,cak
0109.00,010900,cak
0561.00,056100,can
0561.00,056100,can
